experiment,mode,k,epoch,cta,clean_loss,pta,poison_loss
knn_defense_cifar_1xs_1500_none_k1,none,1,179,0.9,0.0019524333074688912,0.997,8.108145528240129e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,180,0.897,0.001981206423044205,0.997,6.9964766909834e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,181,0.8956,0.002022721327841282,0.997,7.511850334412884e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,182,0.8956,0.002050421887636185,0.996,8.080083949607797e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,183,0.898,0.0019873259663581847,0.997,8.155331775196828e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,184,0.8965,0.0020496379375457762,0.997,7.748304151027696e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,185,0.8976,0.0020186075419187546,0.997,7.664868219580966e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,186,0.8985,0.002001612764596939,0.997,7.750336949538906e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,187,0.8973,0.0020101557046175,0.998,6.75134489647462e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,188,0.8957,0.002042436045408249,0.997,6.487879830820021e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,189,0.8971,0.0020249802246689796,0.997,7.50849848263897e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,190,0.8978,0.002001143416762352,0.997,7.69832992737065e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,191,0.8954,0.0020685523092746736,0.998,6.832257589849178e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,192,0.8952,0.0020809611678123474,0.997,7.948557002237067e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,193,0.8946,0.0021161169677972793,0.998,6.912954521976644e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,194,0.8963,0.0020515817776322366,0.997,7.424143856042064e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,195,0.9009,0.0019654443234205245,0.997,7.019709201995283e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,196,0.898,0.0020102476820349695,0.997,7.06115001521539e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,197,0.8984,0.002010726147890091,0.998,7.291883866855642e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,198,0.8954,0.0020781243428587915,0.997,7.677265217353125e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,199,0.8959,0.002060498583316803,0.997,8.076928104128456e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,200,0.8977,0.0020423231840133666,0.997,7.408266120182817e-05
knn_defense_cifar_1xs_1500_remove_k1,remove,1,1,0.5393,0.005485708498954773,0.044,0.014888193130493164
knn_defense_cifar_1xs_1500_remove_k1,remove,1,2,0.6393,0.004241487032175064,0.038,0.013971344470977783
knn_defense_cifar_1xs_1500_remove_k1,remove,1,3,0.6778,0.004082199054956436,0.027,0.016424431562423705
knn_defense_cifar_1xs_1500_remove_k1,remove,1,4,0.7298,0.0031756049036979674,0.265,0.008240126967430116
knn_defense_cifar_1xs_1500_remove_k1,remove,1,5,0.7682,0.002733837828040123,0.071,0.014194131135940551
knn_defense_cifar_1xs_1500_remove_k1,remove,1,6,0.7697,0.0027031076669692994,0.213,0.010275270700454711
knn_defense_cifar_1xs_1500_remove_k1,remove,1,7,0.744,0.003178035098314285,0.1,0.01789634895324707
knn_defense_cifar_1xs_1500_remove_k1,remove,1,8,0.7487,0.0032423526614904405,0.276,0.008623159408569336
knn_defense_cifar_1xs_1500_remove_k1,remove,1,9,0.8114,0.0022599050492048264,0.204,0.01043960452079773
knn_defense_cifar_1xs_1500_remove_k1,remove,1,10,0.7775,0.002738466793298721,0.299,0.009220135450363159
knn_defense_cifar_1xs_1500_remove_k1,remove,1,11,0.7853,0.0027070943593978884,0.229,0.011949357986450195
knn_defense_cifar_1xs_1500_remove_k1,remove,1,12,0.8308,0.001991569837927818,0.051,0.01754651069641113
knn_defense_cifar_1xs_1500_remove_k1,remove,1,13,0.7775,0.0027024548798799514,0.122,0.013388836860656738
knn_defense_cifar_1xs_1500_remove_k1,remove,1,14,0.7983,0.0025421948403120042,0.255,0.00979797625541687
knn_defense_cifar_1xs_1500_remove_k1,remove,1,15,0.773,0.0030229302078485488,0.162,0.013789163827896118
knn_defense_cifar_1xs_1500_remove_k1,remove,1,16,0.8286,0.002118183198571205,0.094,0.015086134433746339
knn_defense_cifar_1xs_1500_remove_k1,remove,1,17,0.8156,0.002312084650993347,0.251,0.009356569051742553
knn_defense_cifar_1xs_1500_remove_k1,remove,1,18,0.8184,0.0021744047045707702,0.533,0.005374755501747131
knn_defense_cifar_1xs_1500_remove_k1,remove,1,19,0.7995,0.002575920525193214,0.326,0.008578097701072693
knn_defense_cifar_1xs_1500_remove_k1,remove,1,20,0.837,0.001994839844107628,0.313,0.0087929527759552
knn_defense_cifar_1xs_1500_remove_k1,remove,1,21,0.7914,0.002748041993379593,0.632,0.004221182703971863
knn_defense_cifar_1xs_1500_remove_k1,remove,1,22,0.8283,0.002178993880748749,0.165,0.011548617124557495
knn_defense_cifar_1xs_1500_remove_k1,remove,1,23,0.843,0.002024522817134857,0.163,0.014683762550354003
knn_defense_cifar_1xs_1500_remove_k1,remove,1,24,0.8224,0.0022526150673627854,0.415,0.007905002117156983
knn_defense_cifar_1xs_1500_remove_k1,remove,1,25,0.7602,0.0031847796499729158,0.489,0.00630913507938385
knn_defense_cifar_1xs_1500_remove_k1,remove,1,26,0.8394,0.001978629270195961,0.029,0.02463612937927246
knn_defense_cifar_1xs_1500_remove_k1,remove,1,27,0.8384,0.002061087065935135,0.293,0.010791478157043457
knn_defense_cifar_1xs_1500_remove_k1,remove,1,28,0.8339,0.002124003463983536,0.203,0.011250622272491455
knn_defense_cifar_1xs_1500_remove_k1,remove,1,29,0.8577,0.0017730188906192779,0.177,0.011504186153411864
knn_defense_cifar_1xs_1500_remove_k1,remove,1,30,0.826,0.00220753872692585,0.493,0.005853798985481262
knn_defense_cifar_1xs_1500_remove_k1,remove,1,31,0.849,0.0019653402149677275,0.287,0.009611696243286132
knn_defense_cifar_1xs_1500_remove_k1,remove,1,32,0.8135,0.0026272543042898176,0.361,0.008604627132415771
knn_defense_cifar_1xs_1500_remove_k1,remove,1,33,0.8268,0.0023430054426193236,0.184,0.014013587474822998
knn_defense_cifar_1xs_1500_remove_k1,remove,1,34,0.8318,0.0022257360458374023,0.087,0.01961377954483032
knn_defense_cifar_1xs_1500_remove_k1,remove,1,35,0.8445,0.0020282814055681228,0.341,0.00963260817527771
