threshold,n_flagged,tp,fp,fn,tn,precision,recall,f1,mcc,fpr,experiment,mode,k
0.7000000000000001,1874,998,876,502,47624,0.5325506937033084,0.6653333333333333,0.5915826911677534,0.581337437874941,0.018061855670103093,knn_defense_cifar_1xs_1500_none_k5,none,5
0.72,1874,998,876,502,47624,0.5325506937033084,0.6653333333333333,0.5915826911677534,0.581337437874941,0.018061855670103093,knn_defense_cifar_1xs_1500_none_k5,none,5
0.74,1874,998,876,502,47624,0.5325506937033084,0.6653333333333333,0.5915826911677534,0.581337437874941,0.018061855670103093,knn_defense_cifar_1xs_1500_none_k5,none,5
0.76,1874,998,876,502,47624,0.5325506937033084,0.6653333333333333,0.5915826911677534,0.581337437874941,0.018061855670103093,knn_defense_cifar_1xs_1500_none_k5,none,5
0.78,1874,998,876,502,47624,0.5325506937033084,0.6653333333333333,0.5915826911677534,0.581337437874941,0.018061855670103093,knn_defense_cifar_1xs_1500_none_k5,none,5
0.8,1874,998,876,502,47624,0.5325506937033084,0.6653333333333333,0.5915826911677534,0.581337437874941,0.018061855670103093,knn_defense_cifar_1xs_1500_none_k5,none,5
0.8200000000000001,970,634,336,866,48164,0.6536082474226804,0.4226666666666667,0.5133603238866397,0.5141860337948134,0.0069278350515463915,knn_defense_cifar_1xs_1500_none_k5,none,5
0.84,970,634,336,866,48164,0.6536082474226804,0.4226666666666667,0.5133603238866397,0.5141860337948134,0.0069278350515463915,knn_defense_cifar_1xs_1500_none_k5,none,5
0.86,970,634,336,866,48164,0.6536082474226804,0.4226666666666667,0.5133603238866397,0.5141860337948134,0.0069278350515463915,knn_defense_cifar_1xs_1500_none_k5,none,5
0.88,970,634,336,866,48164,0.6536082474226804,0.4226666666666667,0.5133603238866397,0.5141860337948134,0.0069278350515463915,knn_defense_cifar_1xs_1500_none_k5,none,5
0.9,970,634,336,866,48164,0.6536082474226804,0.4226666666666667,0.5133603238866397,0.5141860337948134,0.0069278350515463915,knn_defense_cifar_1xs_1500_none_k5,none,5
0.92,970,634,336,866,48164,0.6536082474226804,0.4226666666666667,0.5133603238866397,0.5141860337948134,0.0069278350515463915,knn_defense_cifar_1xs_1500_none_k5,none,5
0.9400000000000001,970,634,336,866,48164,0.6536082474226804,0.4226666666666667,0.5133603238866397,0.5141860337948134,0.0069278350515463915,knn_defense_cifar_1xs_1500_none_k5,none,5
0.96,970,634,336,866,48164,0.6536082474226804,0.4226666666666667,0.5133603238866397,0.5141860337948134,0.0069278350515463915,knn_defense_cifar_1xs_1500_none_k5,none,5
0.98,970,634,336,866,48164,0.6536082474226804,0.4226666666666667,0.5133603238866397,0.5141860337948134,0.0069278350515463915,knn_defense_cifar_1xs_1500_none_k5,none,5
1.0,0,0,0,1500,48500,,0.0,0.0,0.0,0.0,knn_defense_cifar_1xs_1500_none_k5,none,5
0.0,8607,1485,7122,15,41378,0.17253398396653885,0.99,0.29385574354407834,0.38100824994179666,0.14684536082474225,knn_defense_cifar_1xs_1500_remove_k5,remove,5
0.02,8607,1485,7122,15,41378,0.17253398396653885,0.99,0.29385574354407834,0.38100824994179666,0.14684536082474225,knn_defense_cifar_1xs_1500_remove_k5,remove,5
0.04,8607,1485,7122,15,41378,0.17253398396653885,0.99,0.29385574354407834,0.38100824994179666,0.14684536082474225,knn_defense_cifar_1xs_1500_remove_k5,remove,5
